번호,식품명,주재료,조리법,추천태그,이미지태그,지도검색어,description,ingredient,recipe,source,original name
582,양념갈치젓,"갈치, 고추가루, 소금",발효,"#한식, #집밥",#반찬,반찬,"갈치살을 발라내어 고춧가루, 마늘, 생강, 파 등으로 양념한 젓갈입니다.","갈치, 양념장, 고춧가루, 다진마늘, 초피가루, 따듯한물","[양념장 만들기]1. 다진 마늘과 고춧가루, 초피가루를 따뜻한 물에 갠다.[버무리기]2. 재료를 모두 넣고 섞은 후 1주일 정도 숙성시킨다.사용조미료 : 고춧가루",팜킷,양념갈치젓
583,양념멸치젓,"멸치, 고추가루, 소금",발효,"#한식, #집밥",#반찬,반찬,"멸치젓에 고춧가루, 다진 마늘, 다진 파, 깨소금, 참기름을 넣어 만든 양념입니다.","멸치젓, 양 념, 고춧가루, 다진파, 다진마늘, 깨소금","[양념하기]1. 삭힌 멸치젓에 양념의 재료(고춧가루, 다진파, 다진마늘, 깨소금)를 넣고 무쳐낸다.사용조미료 : 고춧가루, 볶음참깨",팜킷,양념멸치젓
584,양념새우젓,"새우, 고추가루, 소금",발효,"#한식, #집밥",#반찬,반찬,"새우젓에 고춧가루, 다진 마늘, 다진 파, 참기름, 깨소금을 넣어 무친 것입니다.","새우젓, 양 념, 고춧가루, 다진파, 다진마늘, 깨소금","[양념하기]1. 새우젓은 깨끗하고 통통한 것으로 준비하여 양념(고춧가루, 다진파, 다진마늘, 깨소금)을넣고 살살 버무린다.사용조미료 : 고춧가루, 볶음참깨",팜킷,양념새우젓
585,오징어젓,"오징어, 고추가루, 소금",발효,"#한식, #집밥",#반찬,반찬,"오징어를 잘게 썰어 고춧가루, 마늘, 생강, 참기름 등으로 양념한 젓갈입니다.","오징어(손질된것), 무, 소금, 양 념, 고운고춧가루, 대파, 마늘, 다진생강","1. 오징어는 껍질이 검고 투명한 것으로 골라 소금물에 깨끗이 씻은 후, 몸통과 다리를 갈라소금 분량의 2/3 정도를 뿌려 둔다.2. 절인 오징어 몸통은 반을 갈라서 폭 0.7cm 정도의 채로 썰고 다리는 끝은 잘라 내고 5cm길이로 썬다.3. 무는 4cm 길이로 굵게 채(0.3cm) 썰고, 나머지 소금으로 절여 숨이 죽으면 물기를 꼭 짠다.4. 대파, 마늘은 곱게 채(0.1cm) 썬다.[양념하기]5. 오징어와 절인 무에 4의 채 썬 양념(대파, 마늘)과 다진생강, 고운 고춧가루를 넣고 버무려보관 용기에 담아 완성한다.사용조미료 : 꽃소금, 고춧가루",팜킷,오징어젓
586,갈치조림,"갈치, 고추가루, 간장, 물엿",조림,"#한식, #집밥",#반찬,반찬,"제주도에서 갈치조림을 맛본 이후 생선조림의 매력에 푹 빠졌답니다. 청주로 밑간을 하고 칼칼한 양념을 넣어 비린 맛은 잡고 감칠맛 나는 갈치조림을 만들어보세요.
무 대신 감자를 넣어 조리면 짭조름하면서도 폭신한 맛을 느낄 수 있답니다.","갈치%1마리(5토막), 감자%2개(중간 크기), 양파%1개, 대파%1대, 홍고추.청양고추%1개씩, 다시마육수%1½컵, 청주%1큰술, 소금%한 꼬집, 간장%4큰술, 고춧가루%3큰술, 맛술%2큰술, 다진 마늘%1큰술, 생강즙%1큰술, 설탕%1큰술, 후추%약간"," 갈치는 내장을 제거하고 깨끗이 씻어 밑간 재료에 10분간 재워주세요. 감자는 1cm 두께로 썰고 양파는 굵게 채 썰어주세요. 대파, 고추는 어슷하게 썰어줍니다. 냄비에 양파-감자-갈치 순으로 넣은 후 조림 양념 재료와 다시마육수를 붓고 뚜껑을 연 채로 센 불에서 10~15분간 끓입니다. 감자가 다 익으면 중간불로 줄이고 대파, 고추를 넣고 1~2분간 더 끓여주세요. 그릇에 먹기 좋기 내어 마무리 해줍니다.",우리의 식탁,갈치조림
587,감자조림,"감자, 고추가루, 간장, 물엿",조림,"#한식, #집밥",#반찬,반찬,간장양념에 조려낸 밥반찬입니다.,"감자, 물, 간장, 설탕, 물엿, 다진마늘, 참깨, 참기름","감자는 껍질을 벗겨 한입 크기로 썰어 준비해요.잠시 찬물에 담가 전분기를 제거해요. 팬에 식용유를 두르고 감자를 약 2~3분간 볶아요.곁면에 기름을 코팅하면 단단해져 조리시 잘 부서지지 않아요. 감자가 살짝 익으면 물을 2/3종이컵 붓고 간장, 설탕, 다진 마늘을 넣어 약 10분간 조려요.센불에서 끓어오르면 중불로 줄여요. 양념이 자작하게 졸여지면 물엿을 넣어 약 1분간 더 조려요. 불을 끄고 참기름, 참깨를 넣어 버무려 완성해요.",만 개의 레시피,감자조림
588,건갈치조림,"건갈치, 간장, 간장, 물엿",조림,"#한식, #집밥",#반찬,반찬,짭조름한 맛이 일품인 건갈치조림입니다.,"마른갈치, 청양고추, 마늘, 물, 양념장, 물엿, 간장, 고춧가루, 식용유, 설탕, 소금, 후춧가루","1. 마른 갈치는 지느러미, 꼬리 등을 다듬어 4cm 크기로 자른 후 씻어 물기를 제거한다.2. 통마늘은 0.2cm 두께로 편 썬다.3. 매운 고추는 0.3cm 두께로 어슷썰기 한다.[양념장 만들기]4. 물엿, 간장, 고춧가루, 식용유, 설탕, 소금, 후춧가루를 한데 모아 섞어준다.[조리기]5.냄비에 양념장을 넣어 끓으면 마른 갈치를 넣고 졸이다가 거의 익으면 물엿, 마늘편, 매운 고추를넣어 살짝 더 졸여준다.사용조미료 : 양조간장, 물엿, 고춧가루, 식용유, 꽃소금, 순후추, 백설탕",팜킷,건갈치조림
589,달걀장조림,"계란, 간장, 설탕",조림,"#한식, #집밥",#반찬,반찬,냄비에 물과 간장을 넣고 삶은 달걀을 넣어 조린 장조림입니다.,"달걀, 청양고추, 꽈리고추, 통마늘, 간장, 물, 설탕, 다시마, 식초, 소금","달걀은 냄비에 담아 달걀이 잠길 정도로 물을 넣고 식초와 소금을 넣어 약 14분간 삶아요.냄비달걀의 갯수는 5개에서 10개 까지 가능해요. 달걀이 익는 동안 꽈리고추, 청양고추는 먹기 좋게 썰어요. 달걀은 껍질을 벗겨 준비해요. 냄비에 물, 간장, 설탕, 달걀, 마늘을 넣어요.냄비 끓어오르면 다시마와 꽈리고추, 청양고추를 넣어 섞어주세요. 끓어오르면 불을 꺼서 완성해요.",만 개의 레시피,달걀장조림
590,닭고추장조림,"닭고기, 고추장, 물엿",조림,"#한식, #집밥",#반찬,반찬,닭다리살을 이용해 만든 매콤한 조림요리입니다.,"감자, 닭고기, 풋고추, 당근, 양파, 파, 닭고기 양념, 간장, 마늘, 고춧가루, 생강, 청주, 고추장, 물엿","1. 감자는 껍질을 깎아 4cm 크기로 토막낸다.2. 풋고추는 0.3cm 두께로 어슷썬다.3. 당근은 껍질을 벗겨 3cm 두께로 원형썰기한다4. 양파는 3 x 3cm 크기로 썬다.5. 닭고기는 깨끗이 씻어 간장 마늘, 생강, 고춧가루, 고추장, 청주를 넣어 재워둔다.[조리기]6. 솥에 양념에 재워진 닭을 넣고 중불에 2분 정도 볶다가 감자를 넣는다. 당근, 양파를 순서대로넣고 20~25분 정도 끓인다.7. 마지막에 대파를 넣어 마무리한다.사용조미료 : 양조간장, 물엿, 고춧가루, 고추장, 청주",팜킷,닭고추장조림
591,돼지고기메추리알장조림,"돼지고기, 계란, 간장, 설탕",조림,"#한식, #집밥",#반찬,반찬,돼지고기와 메추리알을 짭조름하게 조린 밑반찬입니다.,"돼지고기(등심), 삶은메추리알, 물(끓이는용), 양 념, 간장, 황설탕, 물엿, 청주, 통마늘(끓이는용), 생강(끓이는용), 참기름","1. 돼지고기는 큼직하게 토막을 내어 물에 담가 핏물을 뺀다.2. 냄비에 물을 붓고 돼지고기와 청주, 통마늘, 생강을 넣고 끓이다가 마늘과 생강은 건져낸다.[조리기]3.2에 양념(간장, 황설탕, 물엿)과 삶은 메추리알을 넣고 약한 불에서 조린다. 마지막에 참기름 넣고완성한다.[담기]4. 조린 고기는 꺼내어 결방향으로 찢고 메추리알과 곁들여 낸다.사용조미료 : 양조간장, 황설탕, 물엿, 참기름, 청주",팜킷,돼지고기 메추리알 장조림
592,돼지고기장조림,"돼지고기, 간장, 설탕",조림,"#한식, #집밥",#반찬,반찬,"보통은 쇠고기를 이용해 장조림을 만들지만 돼지고기의 안심살을 이용해 장조림을 하면 육질이 부드럽고 연하며 철분이 풍부해 아이들이나 연세가 있는 어른들이 먹기에도 좋답니다.

지방 함량은 적고 단백질 함량이 높아 성인병이나 비만 걱정도 덜 수 있지요. 육즙이 많고 육질이 부드러우니 두껍게 잘라 사용하고 요리 후에 고기의 결대로 찢어 국물을 얹어 내주세요.","돼지고기(안심)%700g, 달걀%6개, 물%5컵, 대파(파란부분)%1대, 양파%1/2개, 마늘%6쪽, 생강(마늘 두 쪽 크기)%1쪽, 통후추%10알, 월계수잎%2장, 물%3컵, 간장%1/2컵, 맛술%5큰술, 설탕%2큰술, 후춧가루%약간, 마른고추%1개"," 돼지고기는 6센치 길이로 썰어주세요. 냄비에 고기 삶는 물 재료를 넣고 끓이다가 국물이 끓으면 고기를 넣고 20분 정도 삶아 체에 건져주세요. (고기 삶은 물은 버려주세요.) 냄비에 달걀과 달걀이 잠길만큼 물을 넣고, 약간의 소금과 식초를 넣어 10분정도 삶은 후 찬물에 담갔다가 껍질을 벗겨주세요. 냄비에 조림양념 재료를 넣고 끓으면 삶은 고기를 넣은 후 13~15분 정도 중약불에서 졸이다가 달걀을 넣어 간이 고루 배도록 5분 정도 더 끓이고 불을 꺼주세요. 돼지고기 장조림을 결대로 먹기 좋게 찢고, 삶은 달갈도 먹기 좋은 크기로 잘라주세요. (미리 찢어두지 않고, 먹을 때마다 고기 덩어리를 찢어주면 간이 세어지지 않게 보관할 수 있어요.)",우리의 식탁,돼지고기장조림
593,땅콩조림,"땅콩, 간장, 물엿",조림,"#한식, #집밥",#반찬,반찬,"흔하게 먹을 수 있는 땅콩조림이지만 팔각을 더해 향미가 더욱 고급스러워졌어요. 하나의 요리로 완성된 땅콩조림, 지금 만들어 보세요~","껍질 땅콩%1컵, 팔각%1개, 샐러리%½대, 대파%1대, 생강%1개, 치킨파우더%1큰술, 물%3컵(600g), 소금%약간, 간장%1큰술"," 껍질 땅콩은 깨끗한 물에 하루 정도 담가 불려놓고, 팔각, 셀러리, 대파는 씻어서 준비해 주세요. 냄비에 주재료와 분량의 소스를 넣고 센불에서 5분간 끓이다가 중불로 낮춰 30분 정도 더 끓여주세요. 파와 생강을 건져내고 한 김 식히면 완성이예요. *Tip. 땅콩을 미리 불리면 끓이는 시간을 단축시킬 수 있고 간이 잘 밴답니다.",우리의 식탁,땅콩조림
594,마늘쫑조림,"마늘쫑, 간장, 물엿",조림,"#한식, #집밥",#반찬,반찬,마늘쫑을 간장양념에 조려낸 밑반찬입니다.,"마늘쫑, 양 념, 간장, 물엿, 물, 식용유(볶음용), 깨소금","1. 마늘쫑은 깨끗이 씻어 물기를 없앤 뒤 5cm 길이로 썬다.[조리기]2. 달군 팬에 식용유를 두르고 마늘쫑을 볶다가 간장과 물엿, 물을 넣고 뒤적이면서 서서히 조린다.3. 물기 없이 조려지면 깨소금을 뿌린다.사용조미료 : 양조간장, 물엿, 식용유, 볶음참깨",팜킷,마늘쫑조림
595,메추리알장조림,"계란, 간장, 설탕",조림,"#한식, #집밥",#반찬,반찬,남녀노소 누구나 좋아하는 국민 밑반찬 메추리알장조림입니다.,"메추리알, 꽈리고추, 물, 식초, 소금, 설탕, 간장, 맛술, 물1+1/2종이컵, 물엿","메추리알을 냄비에 넣고 잠길 정도의 물을 붓고 식초, 소금을 넣어 중간불에서 13분간 삶는다. 밀폐용기에 삶은 메추리알과 찬물을 조금 붓고 뚜껑을 덮어 흔들어 껍질을 벗긴다. 메추리알을 냄비에 넣고 간장, 맛술, 물을 부어 중간 불로 약 5~7분간 조린다. 끓기시작하면 설탕, 물엿, 꽈리고추를 넣고 5분 정도 더 조려 완성한다.",만 개의 레시피,메추리알장조림
596,멸치조림,"멸치, 간장, 물엿",조림,"#한식, #집밥",#반찬,반찬,칼슘이 풍부한 멸치를 달콤짭조름하게 조린 밑반찬입니다.,"멸치, 식용유(볶음용), 양 념, 참기름, 진간장, 통꺠, 설탕, 마늘","1. 마늘은 곱게 다져준다.[볶기]2. 팬에 식용유를 두르고 멸치를 볶는다.3. 볶던 멸치에 다진마늘, 진간장, 설탕, 참기름을 넣고 조린다.4. 통깨를 뿌려낸다사용조미료 : 진간장, 백설탕, 식용유, 볶음참깨",팜킷,멸치조림
597,무조림,"무, 고추가루, 간장, 물엿",조림,"#한식, #집밥",#반찬,반찬,무를 큼직하게 썰어 간장양념에 조려낸 밑반찬입니다.,"무, 고춧가루, 양파즙, 간장, 국간장, 참기름, 육 수, 멸치, 다시마, 물","[육수 끓이기]1. 분량의 물에 멸치, 다시마를 넣어 3~5분간 끓여준다.2. 끓인 육수에서 멸치, 다시마를 건져낸다. 3. 무는1.5cm 두께로 반달썰기해준다.[양념장 만들기]4. 고춧가루, 양파즙, 간장, 국간장, 참기름을 섞어 양념장을 만든다.[무 졸이기]5. 냄비에 무를 넣고 무가 푹 잠길만큼 육수를 넣고 끓인다.6. 국물이 반 정도 남으면 양념장을 넣고 국물이 자작해지도록 끓인다.사용조미료 : 고춧가루, 양조간장, 국간장, 참기름",팜킷,무조림
598,미트볼조림,"다진돼지고기, 케첩, 설탕",조림,"#한식, #집밥",#반찬,반찬,토마토소스에 조린 미트볼을 곁들인 요리입니다.,"당근, 돼지고기(등심), 쪽파, 두부, 식용유(튀김용), 빵가루, 양파, 소 스, 물엿, 돈까스소스, 토마토케첩, 돼지고기 밑간, 참깨, 마늘, 백설탕, 참기름, 후추"," [튀기기]1. 돼지고기는 갈아서 준비한다. 9. 미트볼을 170~180˚C로 예열한 기름에2. 마늘은 곱게 다져준다. 3~5분 정도 튀겨 익혀준다.3. 양파는 잘게 다져준다.4. 쪽파는 0.2cm 길이로 송송 썰어준다. [소스 만들기]5. 당근은 잘게 다져준다. 10. 토마토케첩과 물엿, 돈까스 소스를 섞어6. 두부는 물기를 제거하여 으깨준다. 소스를 만들어준다.[미트볼 만들기] [버무리기]7. 돼지고기에 야채와 마늘, 후추, 소금, 설탕, 11. 만들어놓은 소스에 미트볼을 버무려준다.참깨, 참기름, 빵가루를 넣고 끈기있게 치댄다.8. 지름 4cm 크기로 미트볼을 빚어준다.사용조미료 : 돈까스소스, 토마토케첩, 물엿, 순후추, 백설탕, 참기름, 식용유",팜킷,미트볼조림
599,버섯조림,"버섯, 간장, 물엿",조림,"#한식, #집밥",#반찬,반찬,"표고버섯, 새송이버섯, 팽이버섯을 짭조름하게 조린 반찬입니다.","느타리버섯, 표고버섯, 팽이버섯, 양파, 대파, 양념장, 진간장, 참기름, 참깨, 후춧가루, 다진마늘","1. 느타리버섯은 결대로 찢는다.2. 표고버섯은 밑동을 잘라 0.3cm 두께로 채 썬다.3. 팽이버섯은 밑동을 잘라 3등분한다.4. 양파는 길이대로 0.2cm 두께로 채 썰어준다.5. 대파는 길이 5 x 0.2cm로 채 썰어 준비한다.[만드는 방법]6. 달궈진 팬에 마늘과 양파를 넣고 볶다가 표고버섯, 느타리버섯, 팽이버섯 순으로 볶아주고,진간장을 넣어 졸아들면 참기름을 뿌려 완성한다.사용조미료 : 진간장, 참기름, 볶음참깨, 순후추",팜킷,버섯조림
600,병어조림,"병어, 고추가루, 간장, 물엿",조림,"#한식, #집밥",#반찬,반찬,제철 맞은 병어를 매콤하게 조려낸 밥도둑 메뉴입니다.,"병어, 무, 대파, 청양고추, 홍고추, 양파, 다시마육수1+1/2종이컵, 간장, 고추장, 고춧가루, 다진마늘, 맛술, 물엿","손질한 병어는 칼집을 낸다. 무는 두툼하게 편으로 썬다. 대파, 고추는 어슷하게 썰고, 양파는 채 썬다. 양념장을 만든다. 냄비에 무를 깔고 병어, 양념장절반, 물을 넣고 뚜껑을 닫아 끓인다. 무가 절반정도 익으면 병어, 나머지 양념장, 채소를 넣고 불을 끈다. 접시에 담아 완성한다.",만 개의 레시피,병어조림
601,삼치조림,"삼치, 고추가루, 간장, 물엿",조림,"#한식, #집밥",#반찬,반찬,담백한 삼치에 칼칼한 양념을 더해 조린 생선조림입니다.,"삼치, 무, 풋고추, 양념장, 간장, 고춧가루, 다진파, 다진마늘, 다진생강, 설탕, 물","1. 삼치는 3~4토막으로 잘라 손질하고 물기를 제거한다.2. 무는 3 × 4 × 1cm 크기로 썰어준다.3. 풋고추는 3cm 길이로 어슷썬다.[양념장 만들기]4. 간장, 고춧가루, 다진 파, 마늘, 생강, 설탕, 물을 섞어 양념장을 만든다.[졸이기]5. 냄비에 무를 깔고 위에 삼치를 얹어 양념장을 넣고 20분간 조린다.6. 중간에 어슷썬 풋고추를 넣고 무가 익을 때까지 10분정도 국물을 끼얹으면서 조린다.사용조미료 : 순후추, 고춧가루, 백설탕",팜킷,삼치조림
